Age range,  lipstick finish  ,Color,Brand
18–24,Glossy,black,"BLACK ROUGE, 3CE"
18–24,Velvet,red,"Maybelline, MAC Cosmetics, 3CE, rom&nd, Revlon"
18–24,Tint,Red,"3CE, rom&nd, Chanel"
18–24,Matte,Pink,Novo
18–24,Glossy,Pink,rom&nd
18–24,Tint,Brown ,3CE
18–24,Tint,Pink,3CE
18–24,Velvet,Colorless ,Dior
18–24,Matte,Brown,rom&nd
35–44,Velvet,Red,Revlon
18–24,Velvet,Scarlet ,rom&nd
Over 45,Satin,No,"Maybelline, Dior, Revlon"
35–44,Matte,red color,Maybelline
18–24,Tint,pink,Chanel
18–24,Matte,Red,Revlon
18–24,Glossy,Pink & Cherry Red,rom&nd
25–34,Velvet,Brown ,Hearty Heart
25–34,Velvet,Brown,"rom&nd, Revlon"
18–24,Tint,pink,rom&nd
25–34,Tint,Red,Maybelline
18–24,Tint,Pink,rom&nd
18–24,Velvet,Red,"BLACK ROUGE, 3CE, rom&nd"
18–24,Tint,Red,3CE
18–24,Velvet,Brown,3CE
18–24,Tint,Red,MAC Cosmetics
18–24,Matte,Black,"BLACK ROUGE, rom&nd"
18–24,Tint,Red,MAC Cosmetics
18–24,Velvet,red,BLACK ROUGE
18–24,Tint,Red,"Maybelline, 3CE"
25–34,Matte,Red,"MAC Cosmetics, "
18–24,Matte,Light red,3CE
18–24,Tint,orange,MAC Cosmetics
18–24,Velvet,Red,rom&nd
18–24,Velvet,No,No
Under 18,Velvet,Yellow or pink or red,rom&nd
18–24,Tint,Red,Health shop 
18–24,Tint,White ,3CE
18–24,Tint,Rosepink,"rom&nd, Bella"
18–24,Velvet,Red,rom&nd
25–34,Velvet,Medium ,rom&nd
18–24,Velvet,white and yellow ,"rom&nd, Dior"
35–44,Velvet,Deep red,"BLACK ROUGE, rom&nd, Revlon"
18–24,Tint,Red,MAC Cosmetics
18–24,Tint,Red,rom&nd
18–24,Tint,သက်တံ့,"Chanel, Dior"
25–34,Velvet,Pink & Red orange ,"Maybelline, "
18–24,Matte,Deep reddish brown ,rom&nd
25–34,Tint,"pink , white",Bella
18–24,Matte,Dark brown ,Revlon
18–24,Tint,Brown,3CE
18–24,Velvet,Black ,3CE
18–24,Velvet,Brown ,3CE
18–24,Matte,"Tan, creamy, brown & black",rom&nd
18–24,Velvet,maroon,"3CE, rom&nd"
18–24,Tint,red,"Maybelline, "
18–24,Tint,Red,Maybelline
18–24,Matte,Matte,GoGo Tales
18–24,Tint,Red,Maybelline
Under 18,Tint,"Brown ,black,white and pale color","BLACK ROUGE, 3CE, rom&nd, Revlon, "
25–34,Tint,Brown,Revlon
25–34,Tint,Pink,BLACK ROUGE
18–24,Matte,red,BLACK ROUGE
Over 45,Matte,pink,bella
18–24,Tint,pink,"Maybelline, "
18–24,Tint,Black and white,rom&nd
18–24,Tint,Red,3CE
25–34,Velvet,black,"3CE, rom&nd, Chanel, Dior, Revlon"
18–24,Tint,Purple ,"3CE, rom&nd, "
18–24,Velvet,Pink and orange,"3CE, rom&nd, Chanel"
18–24,Glossy,Red,"3CE, rom&nd"
18–24,Tint,Light pink,"Maybelline, rom&nd"
25–34,Glossy,Red,3CE
25–34,Matte,medium,"Maybelline, 3CE, rom&nd, Chanel, Dior, Revlon, "
18–24,Glossy,Pink,Dior
18–24,Velvet,Black,rom&nd
18–24,Velvet,Pink ,"3CE, rom&nd, Revlon"
18–24,Velvet,Dark,3CE
18–24,Tint,Soft pink ,"Maybelline, rom&nd, Revlon"
18–24,Matte,Red,rom&nd
18–24,Velvet,nude,Maybelline
Over 45,Matte,Blue,Revlon
25–34,Tint,orange,3CE
18–24,Velvet,Red,rom&nd
25–34,Matte,Black,"rom&nd, Novo"
18–24,Matte,nothing,nothing
18–24,Velvet,Reds,rom&nd
18–24,Matte,Red နဲ့ orange ကြားကာလာ,"Revlon, Bella"
18–24,Tint,Green,"rom&nd, Chanel, Dior"
18–24,Matte,Pink,"rom&nd, Revlon"
18–24,Tint,Brown ,"Maybelline, 3CE"
25–34,Tint,Brown ,"MAC Cosmetics, BLACK ROUGE, rom&nd"
18–24,Tint,brown,rom&nd
25–34,Tint,black ,"3CE, rom&nd"
18–24,Tint,Reddish brown ,Novo
18–24,Matte,White ,rom&nd
18–24,Velvet,light,rom&nd
18–24,Tint,red,rom&nd
18–24,Tint,Brown ,rom&nd
18–24,Velvet,Brown ,Go go tales
18–24,Tint,Brown ,rom&nd
18–24,Satin,Brown,Revlon
35–44,Satin,-,"Chanel, Dior, Estee Lauder "
18–24,Velvet,Rose up,rom&nd
18–24,Matte,black ,Maybelline
18–24,Tint,Pink,"3CE, rom&nd"
18–24,Velvet,Red and brown ,NOVO
18–24,Velvet,Pink,Maybelline
18–24,Velvet,pink colour,"Maybelline, 3CE, Dior"
18–24,Tint,Brown,Novo
25–34,Matte,Red ,"Maybelline, "
Under 18,Tint,Black ,"3CE, Chanel"
35–44,Tint,Brown ,Revlon
18–24,Velvet,အနီ,BLACK ROUGE
18–24,Tint,Red,BLACK ROUGE
