  Age_range,lipstick finish  , Packaging Type , Favorite lipstick color family , Most used shade tone  , brand  use most
18–24,Glossy,Lipstick Tube/Stick,Red,"Light, Medium","BLACK ROUGE, 3CE"
18–24,Velvet,Liquid Lipstick,"Pink, Red",Medium,"Maybelline, MAC Cosmetics, 3CE, rom&nd, Revlon"
18–24,Tint,Liquid Lipstick,"Red, Coral",Dark,"3CE, rom&nd, Chanel"
18–24,Matte,Lipstick Tube/Stick,Coral,Medium,Novo
18–24,Glossy,Lipstick Palette,Pink,Medium,rom&nd
18–24,Tint,Lipstick Tube/Stick,Brown,Light,3CE
18–24,Tint,Lipstick Tube/Stick,Pink,Light,3CE
18–24,Velvet,Lipstick Tube/Stick,Coral,Medium,Dior
18–24,Matte,Lipstick Tube/Stick,Brown,Medium,rom&nd
35–44,Velvet,Lipstick Tube/Stick,Red,Dark,Revlon
18–24,Velvet,Lipstick Tube/Stick,Red,"Medium, Dark",rom&nd
Over 45,Satin,Liquid Lipstick,Red,Medium,"Maybelline, Dior, Revlon"
35–44,Matte,Lipstick Tube/Stick,Red,Medium,Maybelline
18–24,Tint,Lipstick Pencil,Pink,Dark,Chanel
18–24,Matte,Lipstick Cream,Coral,Medium,Revlon
18–24,Glossy,Liquid Lipstick,"Nude, Pink, Red",Medium,rom&nd
25–34,Velvet,Lipstick Tube/Stick,Coral,Medium,Hearty Heart
25–34,Velvet,Lipstick Tube/Stick,"Red, Coral",Medium,"rom&nd, Revlon"
18–24,Tint,Liquid Lipstick,"Red, Coral",Medium,rom&nd
25–34,Tint,Liquid Lipstick,Red,Light,Maybelline
18–24,Tint,Liquid Lipstick,"Nude, Coral",Medium,rom&nd
18–24,Velvet,Lipstick Pencil,"Nude, Red","Medium, Dark","BLACK ROUGE, 3CE, rom&nd"
18–24,Tint,Lipstick Pencil,Red,Light,3CE
18–24,Velvet,Lipstick Tube/Stick,Brown,Dark,3CE
18–24,Tint,Lipstick Tube/Stick,Red,Medium,MAC Cosmetics
18–24,Matte,Lipstick Palette,"Red, Orange",Medium,"BLACK ROUGE, rom&nd"
18–24,Tint,Lipstick Cream,Red,Medium,MAC Cosmetics
18–24,Velvet,Lipstick Tube/Stick,Red,Medium,BLACK ROUGE
18–24,Tint,Liquid Lipstick,Red,Medium,"Maybelline, 3CE"
25–34,Matte,Lipstick Cream,Brown,Medium,"MAC Cosmetics, "
18–24,Matte,Liquid Lipstick,"Nude, Coral",Light,3CE
18–24,Tint,Lipstick Pencil,Coral,Medium,MAC Cosmetics
18–24,Velvet,Lipstick Tube/Stick,Red,Medium,rom&nd
18–24,Velvet,Lipstick Tube/Stick,Brown,Dark,No
Under 18,Velvet,Lipstick Tube/Stick,Red,Medium,rom&nd
18–24,Tint,Lipstick Cream,Red,"Light, Medium",Health shop 
18–24,Tint,Lipstick Tube/Stick,Coral,Medium,3CE
18–24,Tint,Lipstick Pencil,"Pink, Red",Medium,"rom&nd, Bella"
18–24,Velvet,Liquid Lipstick,Red,Medium,rom&nd
25–34,Velvet,Lipstick Palette,"Coral, Coral",Medium,rom&nd
18–24,Velvet,Lipstick Tube/Stick,Red,Medium,"rom&nd, Dior"
35–44,Velvet,Lipstick Tube/Stick,"Red, Brown",Medium,"BLACK ROUGE, rom&nd, Revlon"
18–24,Tint,Lipstick Palette,Nude,Light,MAC Cosmetics
18–24,Tint,Liquid Lipstick,"Red, Coral",Light,rom&nd
18–24,Tint,Lipstick Tube/Stick,Coral,Medium,"Chanel, Dior"
25–34,Velvet,Lipstick Tube/Stick,"Red, Coral",Light,"Maybelline, "
18–24,Matte,Lipstick Tube/Stick,Brown,Medium,rom&nd
25–34,Tint,Lipstick Tube/Stick,Coral,Medium,Bella
18–24,Matte,Liquid Lipstick,Coral,Medium,Revlon
18–24,Tint,Liquid Lipstick,Red,Light,3CE
18–24,Velvet,Lipstick Pencil,Red,Medium,3CE
18–24,Velvet,Lipstick Tube/Stick,Nude,Dark,3CE
18–24,Matte,Liquid Lipstick,Nude,Medium,rom&nd
18–24,Velvet,Lipstick Tube/Stick,Nude,Medium,"3CE, rom&nd"
18–24,Tint,Liquid Lipstick,Red,Medium,"Maybelline, "
18–24,Tint,Lipstick Cream,Red,Light,Maybelline
18–24,Matte,Lipstick Tube/Stick,Pink,Medium,GoGo Tales
18–24,Tint,Lipstick Cream,"Pink, Red",Light,Maybelline
